game_id,quarter,team_slot,team_name,action_type,sub_type,success,scoring,player,pno,clock,s1,s2,lead,fga,fgm,two_pa,two_pm,three_pa,three_pm,fta,ftm
2798717,4,1,Edmonton Stingers,freethrow,2of2,1,1,D. Dainja,14,06:28:00,59,61,-2,0,0,0,0,0,0,1,1
2798717,4,1,Edmonton Stingers,freethrow,1of2,1,1,D. Dainja,14,06:28:00,58,61,-3,0,0,0,0,0,0,1,1
2798717,4,2,Winnipeg Sea Bears,timeout,full,1,0,,0,06:28:00,57,61,-4,0,0,0,0,0,0,0,0
2798717,4,1,Edmonton Stingers,foulon,,1,0,D. Dainja,14,06:28:00,57,61,-4,0,0,0,0,0,0,0,0
2798717,4,2,Winnipeg Sea Bears,foul,personal,1,0,E. Akot,6,06:28:00,57,61,-4,0,0,0,0,0,0,0,0
2798717,4,1,Edmonton Stingers,rebound,defensive,1,0,D. Dainja,14,06:33:00,57,61,-4,0,0,0,0,0,0,0,0
2798717,4,2,Winnipeg Sea Bears,3pt,jumpshot,0,1,D. Walker,5,06:36:00,57,61,-4,1,0,0,0,1,0,0,0
2798717,4,1,Edmonton Stingers,2pt,turnaroundjumpshot,1,1,A. Rhooms,3,06:56:00,57,61,-4,1,1,1,1,0,0,0,0
2798717,4,1,Edmonton Stingers,rebound,defensive,1,0,T. Donald,7,07:04:00,55,61,-6,0,0,0,0,0,0,0,0
2798717,4,2,Winnipeg Sea Bears,2pt,floatingjumpshot,0,1,A. Chaney,13,07:07:00,55,61,-6,1,0,1,0,0,0,0,0
2798717,4,2,Winnipeg Sea Bears,rebound,offensive,1,0,J. Tilmon Jr.,2,07:16:00,55,61,-6,0,0,0,0,0,0,0,0
2798717,4,2,Winnipeg Sea Bears,3pt,jumpshot,0,1,T. Allen,3,07:21:00,55,61,-6,1,0,0,0,1,0,0,0
2798717,4,1,Edmonton Stingers,2pt,layup,1,1,E. Bandoumel,6,07:37:00,55,61,-6,1,1,1,1,0,0,0,0
2798717,4,2,Winnipeg Sea Bears,freethrow,2of2,1,1,T. Allen,3,07:59:00,53,61,-8,0,0,0,0,0,0,1,1
2798717,4,2,Winnipeg Sea Bears,freethrow,1of2,1,1,T. Allen,3,07:59:00,53,60,-7,0,0,0,0,0,0,1,1
2798717,4,1,Edmonton Stingers,substitution,in,1,0,A. Rhooms,3,07:59:00,53,59,-6,0,0,0,0,0,0,0,0
2798717,4,1,Edmonton Stingers,substitution,in,1,0,E. Bandoumel,6,07:59:00,53,59,-6,0,0,0,0,0,0,0,0
2798717,4,1,Edmonton Stingers,substitution,out,1,0,A. Toney,11,07:59:00,53,59,-6,0,0,0,0,0,0,0,0
