gt,clock,s1,s2,lead,tno,period,periodType,pno,player,success,actionType,actionNumber,previousAction,qualifier,subType,scoring,shirtNumber,firstName,familyName,internationalFirstName,internationalFamilyName,firstNameInitial,familyNameInitial,internationalFirstNameInitial,internationalFamilyNameInitial,scoreboardName
05:32,05:32:00,62,63,-1,2,4,REGULAR,3,T. Allen,1,assist,702,701,[],,0,8,Teddy,Allen,Teddy,Allen,T,A,T,A,T. Allen
05:32,05:32:00,62,63,-1,2,4,REGULAR,2,J. Tilmon Jr.,1,2pt,701,,['pointsinthepaint'],jumpshot,1,35,Jeremiah,Tilmon Jr.,Jeremiah,Tilmon Jr.,J,T,J,T,J. Tilmon Jr.
05:56,05:56:00,62,61,1,1,4,REGULAR,7,T. Donald,1,assist,700,699,[],,0,3,Taye,Donald,Taye,Donald,T,D,T,D,T. Donald
05:56,05:56:00,62,61,1,1,4,REGULAR,6,E. Bandoumel,1,3pt,699,,[],jumpshot,1,8,Emmanuel,Bandoumel,Emmanuel,Bandoumel,E,B,E,B,E. Bandoumel
05:58,05:58:00,59,61,-2,1,4,REGULAR,3,A. Rhooms,1,rebound,698,697,[],defensive,0,12,Aaron,Rhooms,Aaron,Rhooms,A,R,A,R,A. Rhooms
06:00,06:00:00,59,61,-2,2,4,REGULAR,3,T. Allen,0,2pt,697,,['pointsinthepaint'],layup,1,8,Teddy,Allen,Teddy,Allen,T,A,T,A,T. Allen
06:28,06:28:00,59,61,-2,1,4,REGULAR,14,D. Dainja,1,freethrow,694,,[],2of2,1,42,Dain,Dainja,Dain,Dainja,D,D,D,D,D. Dainja
06:28,06:28:00,58,61,-3,1,4,REGULAR,14,D. Dainja,1,freethrow,693,,[],1of2,1,42,Dain,Dainja,Dain,Dainja,D,D,D,D,D. Dainja
06:28,06:28:00,57,61,-4,2,4,REGULAR,0,,1,timeout,692,,[],full,0,,,,,,,,,,
06:28,06:28:00,57,61,-4,1,4,REGULAR,14,D. Dainja,1,foulon,691,690,[],,0,42,Dain,Dainja,Dain,Dainja,D,D,D,D,D. Dainja
06:28,06:28:00,57,61,-4,2,4,REGULAR,6,E. Akot,1,foul,690,,"['shooting', '2freethrow']",personal,0,7,Emmanuel,Akot,Emmanuel,Akot,E,A,E,A,E. Akot
06:33,06:33:00,57,61,-4,1,4,REGULAR,14,D. Dainja,1,rebound,688,687,[],defensive,0,42,Dain,Dainja,Dain,Dainja,D,D,D,D,D. Dainja
06:36,06:36:00,57,61,-4,2,4,REGULAR,5,D. Walker,0,3pt,687,,[],jumpshot,1,1,David,Walker,David,Walker,D,W,D,W,D. Walker
06:56,06:56:00,57,61,-4,1,4,REGULAR,3,A. Rhooms,1,2pt,686,,['pointsinthepaint'],turnaroundjumpshot,1,12,Aaron,Rhooms,Aaron,Rhooms,A,R,A,R,A. Rhooms
07:04,07:04:00,55,61,-6,1,4,REGULAR,7,T. Donald,1,rebound,685,684,[],defensive,0,3,Taye,Donald,Taye,Donald,T,D,T,D,T. Donald
07:07,07:07:00,55,61,-6,2,4,REGULAR,13,A. Chaney,0,2pt,684,,"['2ndchance', 'pointsinthepaint']",floatingjumpshot,1,11,Armani,Chaney,Armani,Chaney,A,C,A,C,A. Chaney
07:16,07:16:00,55,61,-6,2,4,REGULAR,2,J. Tilmon Jr.,1,rebound,683,682,[],offensive,0,35,Jeremiah,Tilmon Jr.,Jeremiah,Tilmon Jr.,J,T,J,T,J. Tilmon Jr.
07:21,07:21:00,55,61,-6,2,4,REGULAR,3,T. Allen,0,3pt,682,,[],jumpshot,1,8,Teddy,Allen,Teddy,Allen,T,A,T,A,T. Allen
07:37,07:37:00,55,61,-6,1,4,REGULAR,6,E. Bandoumel,1,2pt,681,,['pointsinthepaint'],layup,1,8,Emmanuel,Bandoumel,Emmanuel,Bandoumel,E,B,E,B,E. Bandoumel
07:59,07:59:00,53,61,-8,2,4,REGULAR,3,T. Allen,1,freethrow,679,,[],2of2,1,8,Teddy,Allen,Teddy,Allen,T,A,T,A,T. Allen
07:59,07:59:00,53,60,-7,2,4,REGULAR,3,T. Allen,1,freethrow,678,,[],1of2,1,8,Teddy,Allen,Teddy,Allen,T,A,T,A,T. Allen
07:59,07:59:00,53,59,-6,1,4,REGULAR,3,A. Rhooms,1,substitution,677,,[],in,0,12,Aaron,Rhooms,Aaron,Rhooms,A,R,A,R,A. Rhooms
07:59,07:59:00,53,59,-6,1,4,REGULAR,6,E. Bandoumel,1,substitution,676,,[],in,0,8,Emmanuel,Bandoumel,Emmanuel,Bandoumel,E,B,E,B,E. Bandoumel
07:59,07:59:00,53,59,-6,1,4,REGULAR,11,A. Toney,1,substitution,674,,[],out,0,5,Au'diese,Toney,Au'Diese,Toney,A,T,A,T,A. Toney
