game_id,game_date,game_number,team_name,opponent_name,actual_opponent_team,opponent_payroll_faced,opponent_active_players,opponent_players_with_salary,opponent_players_missing_salary,opponent_payroll_complete,league_average_payroll,difference_vs_average,pct_of_league_average
2798779,2026-06-28T17:00:00Z,14,Niagara River Lions,Ottawa BlackJacks,Ottawa BlackJacks,13712.5,10,10,0,True,11772.152916666668,1940.3470833333322,1.1648251680953146
2798790,2026-07-04T23:00:00Z,15,Niagara River Lions,Ottawa BlackJacks,Ottawa BlackJacks,10612.5,9,9,0,True,11772.152916666668,-1159.6529166666678,0.90149185753229
2798786,2026-07-10T23:00:00Z,16,Niagara River Lions,Scarborough Shooting Stars,Scarborough Shooting Stars,15780.0,10,10,0,True,11772.152916666668,4007.847083333332,1.3404514969950092
2798792,2026-07-12T19:00:00Z,17,Niagara River Lions,Montreal Alliance,Montréal Alliance,7530.0,8,8,0,True,11772.152916666668,-4242.152916666668,0.6396451059805083
2798798,2026-07-14T16:30:00Z,18,Niagara River Lions,Brampton Honey Badgers,Brampton Honey Badgers,9816.67,10,10,0,True,11772.152916666668,-1955.4829166666677,0.8338890999370088
2798802,2026-07-16T23:00:00Z,19,Niagara River Lions,Brampton Honey Badgers,Brampton Honey Badgers,8566.67,8,8,0,True,11772.152916666668,-3205.4829166666677,0.7277063134196601
2798808,2026-07-18T19:30:00Z,20,Niagara River Lions,Edmonton Stingers,Edmonton Stingers,11217.67,10,10,0,True,11772.152916666668,-554.4829166666677,0.9528987670656531
2798817,2026-07-24T23:30:00Z,21,Niagara River Lions,Scarborough Shooting Stars,Scarborough Shooting Stars,15542.86,9,9,0,True,11772.152916666668,3770.707083333333,1.32030734819923
2798822,2026-07-26T19:00:00Z,22,Niagara River Lions,Ottawa BlackJacks,Ottawa BlackJacks,12762.5,9,9,0,True,11772.152916666668,990.3470833333322,1.0841262503421296
2798826,2026-07-30T01:30:00Z,23,Niagara River Lions,Saskatoon Mamba,Saskatoon Mamba,13484.33,12,12,0,True,11772.152916666668,1712.1770833333321,1.145442986975584
2798830,2026-08-01T01:30:00Z,24,Niagara River Lions,Calgary Surge,Calgary Surge,6421.43,8,7,1,False,11772.152916666668,-5350.7229166666675,0.5454762646608785
2798718,2026-05-12T23:30:00Z,1,Ottawa BlackJacks,Calgary Surge,Calgary Surge,10726.0,10,10,0,True,11772.152916666668,-1046.1529166666678,0.9111332545480653
